MSOA11CD;MSOA11NM;Local authority;covid_19_deaths;covid_19_deaths_per_thousand
E02000533;Hounslow 008;Hounslow;3;0,355534487
E02000534;Hounslow 009;Hounslow;3;0,372902424
E02000535;Hounslow 010;Hounslow;10;1,077354019
E02000536;Hounslow 011;Hounslow;3;0,321543408
E02000537;Hounslow 012;Hounslow;2;0,222866057
E02000538;Hounslow 013;Hounslow;4;0,415498078
E02000539;Hounslow 014;Hounslow;9;0,820868296
E02000540;Hounslow 015;Hounslow;12;1,089225742
E02000541;Hounslow 016;Hounslow;7;0,724337748
E02000542;Hounslow 017;Hounslow;7;0,601581299
E02000543;Hounslow 018;Hounslow;3;0,219796322
E02000544;Hounslow 019;Hounslow;1;0,122369065
E02000545;Hounslow 020;Hounslow;1;0,114823746
E02000546;Hounslow 021;Hounslow;1;0,102806621
E02000547;Hounslow 022;Hounslow;5;0,501756147
E02000548;Hounslow 023;Hounslow;6;0,599340725
E02000549;Hounslow 024;Hounslow;7;0,606796117
E02000550;Hounslow 025;Hounslow;0;0
E02000551;Hounslow 026;Hounslow;2;0,219466696
E02000552;Hounslow 027;Hounslow;1;0,109385255
E02000553;Hounslow 028;Hounslow;3;0,415973378
E02000554;Islington 001;Islington;1;0,099780483
E02000555;Islington 002;Islington;2;0,201673893
E02000556;Islington 003;Islington;6;0,52608505
E02000557;Islington 004;Islington;2;0,225326724
E02000558;Islington 005;Islington;3;0,294290759
E02000559;Islington 006;Islington;1;0,095020905
E02000560;Islington 007;Islington;1;0,110975474
E02000561;Islington 008;Islington;4;0,467344316
E02000562;Islington 009;Islington;5;0,56567485
E02000563;Islington 010;Islington;4;0,464198677
E02000564;Islington 011;Islington;2;0,144896037
E02000565;Islington 012;Islington;2;0,220896841
E02000566;Islington 013;Islington;1;0,106575722
E02000567;Islington 014;Islington;3;0,260235947
E02000568;Islington 015;Islington;6;0,464792006
E02000569;Islington 016;Islington;6;0,539422818
E02000570;Islington 017;Islington;2;0,200863714
E02000571;Islington 018;Islington;3;0,326406267
E02000572;Islington 019;Islington;7;0,755368512
E02000573;Islington 020;Islington;18;1,730935667
E02000574;Islington 021;Islington;3;0,312891114
E02000575;Islington 022;Islington;3;0,198176774
E02000576;Islington 023;Islington;3;0,253421186
E02000577;Kensington and Chelsea 001;Kensington and Chelsea;4;0,592329335
E02000578;Kensington and Chelsea 002;Kensington and Chelsea;8;1,367755172
E02000579;Kensington and Chelsea 003;Kensington and Chelsea;4;0,491098834
E02000580;Kensington and Chelsea 004;Kensington and Chelsea;5;0,624843789
E02000581;Kensington and Chelsea 005;Kensington and Chelsea;4;0,604047116
E02000582;Kensington and Chelsea 006;Kensington and Chelsea;6;0,8256502
E02000583;Kensington and Chelsea 007;Kensington and Chelsea;2;0,287521564
E02000584;Kensington and Chelsea 008;Kensington and Chelsea;1;0,124331717
E02000585;Kensington and Chelsea 009;Kensington and Chelsea;2;0,249252243
E02000586;Kensington and Chelsea 010;Kensington and Chelsea;0;0
E02000587;Kensington and Chelsea 011;Kensington and Chelsea;4;0,538068335
E02000588;Kensington and Chelsea 012;Kensington and Chelsea;2;0,254582485
E02000589;Kensington and Chelsea 013;Kensington and Chelsea;5;0,575771534
E02000590;Kensington and Chelsea 014;Kensington and Chelsea;2;0,291502696
E02000591;Kensington and Chelsea 015;Kensington and Chelsea;4;0,586252382
E02000592;Kensington and Chelsea 016;Kensington and Chelsea;4;0,579122629
E02000593;Kensington and Chelsea 017;Kensington and Chelsea;1;0,12363996
E02000594;Kensington and Chelsea 018;Kensington and Chelsea;10;1,285347044
E02000595;Kensington and Chelsea 019;Kensington and Chelsea;3;0,399627015
E02000596;Kensington and Chelsea 020;Kensington and Chelsea;9;1,168831169
E02000597;Kensington and Chelsea 021;Kensington and Chelsea;4;0,553020877
E02000598;Kingston upon Thames 001;Kingston upon Thames;2;0,244021474
E02000599;Kingston upon Thames 002;Kingston upon Thames;8;0,946521533
E02000600;Kingston upon Thames 003;Kingston upon Thames;5;0,523395792
E02000601;Kingston upon Thames 004;Kingston upon Thames;0;0
E02000602;Kingston upon Thames 005;Kingston upon Thames;0;0
E02000603;Kingston upon Thames 006;Kingston upon Thames;4;0,453669048
E02000604;Kingston upon Thames 007;Kingston upon Thames;3;0,321577875
E02000605;Kingston upon Thames 008;Kingston upon Thames;7;0,839529863
E02000606;Kingston upon Thames 009;Kingston upon Thames;2;0,178906879
E02000607;Kingston upon Thames 010;Kingston upon Thames;0;0
E02000608;Kingston upon Thames 011;Kingston upon Thames;0;0
E02000609;Kingston upon Thames 012;Kingston upon Thames;3;0,390015601
E02000610;Kingston upon Thames 013;Kingston upon Thames;7;0,865158818
E02000611;Kingston upon Thames 014;Kingston upon Thames;1;0,135869565
E02000612;Kingston upon Thames 015;Kingston upon Thames;4;0,488878025
E02000613;Kingston upon Thames 016;Kingston upon Thames;2;0,240153698
E02000614;Kingston upon Thames 017;Kingston upon Thames;3;0,330578512
E02000615;Kingston upon Thames 018;Kingston upon Thames;3;0,388701736
E02000616;Kingston upon Thames 019;Kingston upon Thames;1;0,166583375
E02000617;Kingston upon Thames 020;Kingston upon Thames;2;0,223964166
E02000619;Lambeth 002;Lambeth;5;0,549813064
E02000620;Lambeth 003;Lambeth;5;0,475465957
E02000621;Lambeth 004;Lambeth;8;0,682360969
E02000622;Lambeth 005;Lambeth;4;0,4459806
E02000623;Lambeth 006;Lambeth;4;0,492914356
E02000624;Lambeth 007;Lambeth;6;0,673174015
E02000625;Lambeth 008;Lambeth;3;0,357781753
E02000626;Lambeth 009;Lambeth;8;0,948204338
E02000627;Lambeth 010;Lambeth;3;0,300090027
E02000628;Lambeth 011;Lambeth;9;0,92175338
E02000629;Lambeth 012;Lambeth;2;0,215866163
E02000630;Lambeth 013;Lambeth;5;0,620116582
E02000631;Lambeth 014;Lambeth;5;0,530166472
E02000632;Lambeth 015;Lambeth;2;0,213219616
E02000633;Lambeth 016;Lambeth;3;0,327189443
E02000634;Lambeth 017;Lambeth;7;1,01744186
E02000635;Lambeth 018;Lambeth;8;0,866926745
E02000636;Lambeth 019;Lambeth;7;0,850753525
E02000637;Lambeth 020;Lambeth;5;0,552791598
E02000638;Lambeth 021;Lambeth;3;0,276803838
E02000639;Lambeth 022;Lambeth;2;0,242277408
E02000640;Lambeth 023;Lambeth;6;0,608951588
E02000641;Lambeth 024;Lambeth;4;0,457404231
E02000642;Lambeth 025;Lambeth;4;0,405844156
E02000643;Lambeth 026;Lambeth;5;0,52295785
E02000644;Lambeth 027;Lambeth;2;0,220799293
E02000645;Lambeth 028;Lambeth;3;0,306968178
E02000646;Lambeth 029;Lambeth;4;0,38420901
E02000647;Lambeth 030;Lambeth;10;1,076078769
E02000648;Lambeth 031;Lambeth;8;0,95272121
E02000649;Lambeth 032;Lambeth;5;0,368459838
E02000650;Lambeth 033;Lambeth;4;0,513149455
E02000651;Lambeth 034;Lambeth;3;0,329163924
E02000652;Lambeth 035;Lambeth;3;0,384221311
E02000653;Lewisham 001;Lewisham;9;0,791347929
E02000654;Lewisham 002;Lewisham;6;0,692520776
E02000655;Lewisham 003;Lewisham;13;1,390374332
E02000657;Lewisham 005;Lewisham;1;0,102417042
E02000658;Lewisham 006;Lewisham;1;0,112688754
E02000659;Lewisham 007;Lewisham;1;0,125203456
E02000660;Lewisham 008;Lewisham;4;0,469043152
E02000661;Lewisham 009;Lewisham;3;0,440463955
E02000662;Lewisham 010;Lewisham;3;0,340367597
E02000663;Lewisham 011;Lewisham;3;0,405076965
E02000664;Lewisham 012;Lewisham;8;0,55877628
E02000665;Lewisham 013;Lewisham;3;0,34348523
E02000666;Lewisham 014;Lewisham;7;0,950441276
E02000667;Lewisham 015;Lewisham;4;0,570450656
E02000668;Lewisham 016;Lewisham;3;0,400587528
E02000669;Lewisham 017;Lewisham;5;0,611246944
E02000670;Lewisham 018;Lewisham;6;0,902934537
E02000671;Lewisham 019;Lewisham;3;0,343327993
E02000672;Lewisham 020;Lewisham;6;0,602228245
E02000673;Lewisham 021;Lewisham;1;0,114982178
E02000674;Lewisham 022;Lewisham;5;0,576967459
E02000675;Lewisham 023;Lewisham;4;0,445632799
E02000676;Lewisham 024;Lewisham;3;0,361054278
E02000677;Lewisham 025;Lewisham;4;0,532765051
E02000678;Lewisham 026;Lewisham;4;0,583856371
E02000679;Lewisham 027;Lewisham;5;0,598086124
E02000680;Lewisham 028;Lewisham;5;0,65027962
E02000681;Lewisham 029;Lewisham;6;0,686655985
E02000682;Lewisham 030;Lewisham;4;0,444395067
E02000683;Lewisham 031;Lewisham;3;0,46253469
E02000685;Lewisham 033;Lewisham;8;0,947530499
E02000686;Lewisham 034;Lewisham;3;0,402955003
E02000687;Lewisham 035;Lewisham;11;1,301159215
E02000689;Merton 001;Merton;1;0,12025012
E02000690;Merton 002;Merton;4;0,718778077
E02000691;Merton 003;Merton;2;0,266595575
E02000692;Merton 004;Merton;4;0,510986203
E02000693;Merton 005;Merton;6;0,639386189
E02000694;Merton 006;Merton;2;0,21896212
E02000695;Merton 007;Merton;4;0,476871722
E02000696;Merton 008;Merton;7;0,875656743
E02000697;Merton 009;Merton;1;0,112233446
E02000698;Merton 010;Merton;3;0,375281461
E02000699;Merton 011;Merton;1;0,120627262
E02000700;Merton 012;Merton;8;0,945738267
E02000701;Merton 013;Merton;9;1,06546703
E02000702;Merton 014;Merton;3;0,344273583
E02000703;Merton 015;Merton;3;0,376222724
E02000704;Merton 016;Merton;11;1,324822353
E02000705;Merton 017;Merton;11;1,295336788
E02000706;Merton 018;Merton;2;0,21310602
E02000707;Merton 019;Merton;5;0,670780789
E02000708;Merton 020;Merton;5;0,589831308
E02000709;Merton 021;Merton;5;0,650872169
E02000710;Merton 022;Merton;9;1,05361742
E02000711;Merton 023;Merton;4;0,451161741
E02000712;Merton 024;Merton;4;0,462160601
E02000713;Merton 025;Merton;3;0,40371417
E02000714;Newham 001;Newham;3;0,362756953
E02000715;Newham 002;Newham;22;2,827036751
E02000716;Newham 003;Newham;10;1,271617497
E02000717;Newham 004;Newham;3;0,347061546
E02000718;Newham 005;Newham;0;0
E02000719;Newham 006;Newham;10;1,143249114
E02000720;Newham 007;Newham;3;0,379362671
E02000721;Newham 008;Newham;8;0,807999192
E02000722;Newham 009;Newham;6;0,69637883
E02000723;Newham 010;Newham;9;0,800355714
E02000724;Newham 011;Newham;9;0,899910009
E02000725;Newham 012;Newham;4;0,390586857
E02000726;Newham 013;Newham;5;0,200248308
E02000727;Newham 014;Newham;4;0,464738004
E02000728;Newham 015;Newham;4;0,489596083
E02000729;Newham 016;Newham;8;1,080205239
E02000730;Newham 017;Newham;3;0,328983441
E02000731;Newham 018;Newham;6;0,545702592
E02000732;Newham 019;Newham;8;0,996636352
E02000733;Newham 020;Newham;3;0,289407679
E02000734;Newham 021;Newham;4;0,521240553
E02000735;Newham 022;Newham;6;0,697836706
E02000736;Newham 023;Newham;5;0,54662731
E02000737;Newham 024;Newham;8;0,78369906
E02000738;Newham 025;Newham;4;0,438788943
E02000739;Newham 026;Newham;1;0,12926577
E02000740;Newham 027;Newham;3;0,421525924
E02000741;Newham 028;Newham;6;0,669941938
E02000742;Newham 029;Newham;3;0,340058944
E02000743;Newham 030;Newham;6;0,588235294
E02000744;Newham 031;Newham;8;0,84254871
E02000745;Newham 032;Newham;4;0,475567709
E02000746;Newham 033;Newham;6;0,702658391
E02000747;Newham 034;Newham;4;0,298018179
E02000748;Newham 035;Newham;3;0,457875458
E02000749;Newham 036;Newham;6;0,684072512
E02000750;Newham 037;Newham;3;0,202702703
E02000751;Redbridge 001;Redbridge;11;1,030444965
E02000752;Redbridge 002;Redbridge;3;0,393494229
E02000753;Redbridge 003;Redbridge;3;0,455235205
E02000754;Redbridge 004;Redbridge;5;0,744601638
E02000755;Redbridge 005;Redbridge;4;0,717231486
E02000756;Redbridge 006;Redbridge;11;0,802626779
E02000757;Redbridge 007;Redbridge;2;0,157035176
E02000758;Redbridge 008;Redbridge;2;0,320924262
E02000759;Redbridge 009;Redbridge;7;0,524462426
E02000760;Redbridge 010;Redbridge;5;0,700967335
E02000762;Redbridge 012;Redbridge;2;0,301841232
E02000763;Redbridge 013;Redbridge;5;0,658587987
E02000764;Redbridge 014;Redbridge;10;0,803277372
E02000765;Redbridge 015;Redbridge;0;0
E02000767;Redbridge 017;Redbridge;7;0,837120306
E02000768;Redbridge 018;Redbridge;1;0,172028213
E02000769;Redbridge 019;Redbridge;15;0,947807406
E02000770;Redbridge 020;Redbridge;4;0,495356037
E02000772;Redbridge 022;Redbridge;4;0,447377251
E02000773;Redbridge 023;Redbridge;4;0,396825397
E02000774;Redbridge 024;Redbridge;1;0,131908719
E02000776;Redbridge 026;Redbridge;4;0,566491998
E02000777;Redbridge 027;Redbridge;3;0,491480996
E02000779;Redbridge 029;Redbridge;9;1,00896861
E02000780;Redbridge 030;Redbridge;8;0,459981601
E02000781;Redbridge 031;Redbridge;10;0,662339383
E02000782;Redbridge 032;Redbridge;7;0,660626652
E02000783;Redbridge 033;Redbridge;0;0
E02000784;Richmond upon Thames 001;Richmond upon Thames;6;0,596658711
E02000785;Richmond upon Thames 002;Richmond upon Thames;3;0,30284676
E02000786;Richmond upon Thames 003;Richmond upon Thames;3;0,261278523
E02000787;Richmond upon Thames 004;Richmond upon Thames;0;0
E02000788;Richmond upon Thames 005;Richmond upon Thames;5;0,548606539
E02000789;Richmond upon Thames 006;Richmond upon Thames;4;0,612557427
E02000790;Richmond upon Thames 007;Richmond upon Thames;3;0,450992183
E02000791;Richmond upon Thames 008;Richmond upon Thames;2;0,282645562
E02000792;Richmond upon Thames 009;Richmond upon Thames;5;0,691276096
E02000793;Richmond upon Thames 010;Richmond upon Thames;5;0,60284543
E02000794;Richmond upon Thames 011;Richmond upon Thames;4;0,572327944
E02000795;Richmond upon Thames 012;Richmond upon Thames;2;0,279837694
E02000796;Richmond upon Thames 013;Richmond upon Thames;7;0,646233383
E02000797;Richmond upon Thames 014;Richmond upon Thames;2;0,255591054
E02000798;Richmond upon Thames 015;Richmond upon Thames;2;0,179372197
E02000799;Richmond upon Thames 016;Richmond upon Thames;2;0,312207306
E02000800;Richmond upon Thames 017;Richmond upon Thames;3;0,550964187
E02000801;Richmond upon Thames 018;Richmond upon Thames;0;0
E02000802;Richmond upon Thames 019;Richmond upon Thames;5;0,720876586
E02000803;Richmond upon Thames 020;Richmond upon Thames;3;0,316789863
E02000804;Richmond upon Thames 021;Richmond upon Thames;6;0,820793434
E02000805;Richmond upon Thames 022;Richmond upon Thames;1;0,086880973
E02000806;Richmond upon Thames 023;Richmond upon Thames;4;0,388085767
E02000807;Southwark 001;Southwark;2;0,211954218
E02000808;Southwark 002;Southwark;0;0
E02000809;Southwark 003;Southwark;1;0,071143995
E02000810;Southwark 004;Southwark;1;0,074543422
E02000812;Southwark 006;Southwark;11;1,031894934
E02000813;Southwark 007;Southwark;3;0,279850746
E02000814;Southwark 008;Southwark;13;1,317790167
E02000815;Southwark 009;Southwark;2;0,286123033
E02000816;Southwark 010;Southwark;5;0,477874415
E02000817;Southwark 011;Southwark;6;0,825082508
E02000818;Southwark 012;Southwark;4;0,482101965
E02000819;Southwark 013;Southwark;7;0,788732394
E02000820;Southwark 014;Southwark;2;0,193535901
E02000821;Southwark 015;Southwark;7;0,845717047
E02000822;Southwark 016;Southwark;3;0,417072153
E02000823;Southwark 017;Southwark;1;0,112132765
E02000824;Southwark 018;Southwark;4;0,406462758
E02000825;Southwark 019;Southwark;9;0,9447827
E02000826;Southwark 020;Southwark;10;1,084363479
E02000827;Southwark 021;Southwark;2;0,181967064
E02000828;Southwark 022;Southwark;8;0,928397354
E02000829;Southwark 023;Southwark;15;1,281613124
E02000830;Southwark 024;Southwark;6;0,637416339
E02000831;Southwark 025;Southwark;6;0,598862162
E02000832;Southwark 026;Southwark;3;0,27785496
E02000833;Southwark 027;Southwark;3;0,338066261
E02000834;Southwark 028;Southwark;5;0,501303389
E02000835;Southwark 029;Southwark;1;0,12703252
E02000836;Southwark 030;Southwark;4;0,463231036
E02000837;Southwark 031;Southwark;1;0,104058273
E02000838;Southwark 032;Southwark;3;0,309661437
E02000839;Southwark 033;Southwark;1;0,11820331
E02000840;Sutton 001;Sutton;0;0
E02000841;Sutton 002;Sutton;4;0,43047783
E02000842;Sutton 003;Sutton;4;0,503968754
E02000843;Sutton 004;Sutton;8;0,968054211
E02000844;Sutton 005;Sutton;1;0,119431506
E02000845;Sutton 006;Sutton;0;0
E02000846;Sutton 007;Sutton;1;0,134535181
E02000847;Sutton 008;Sutton;5;0,52882073
E02000848;Sutton 009;Sutton;3;0,373041532
E02000849;Sutton 010;Sutton;5;0,628140704
E02000850;Sutton 011;Sutton;5;0,458589379
E02000851;Sutton 012;Sutton;8;0,805882946
E02000852;Sutton 013;Sutton;4;0,500250125
E02000853;Sutton 014;Sutton;5;0,616142945
E02000854;Sutton 015;Sutton;2;0,264445326
E02000855;Sutton 016;Sutton;3;0,374344896
E02000856;Sutton 017;Sutton;3;0,326583932
E02000857;Sutton 018;Sutton;7;0,80348944
E02000858;Sutton 019;Sutton;1;0,117938436
E02000859;Sutton 020;Sutton;7;0,804597701
E02000860;Sutton 021;Sutton;5;0,586923348
E02000861;Sutton 022;Sutton;4;0,513149455
E02000863;Sutton 024;Sutton;3;0,438148094
E02000864;Tower Hamlets 001;Tower Hamlets;8;0,776397516
E02000865;Tower Hamlets 002;Tower Hamlets;0;0
E02000866;Tower Hamlets 003;Tower Hamlets;3;0,276650682
E02000867;Tower Hamlets 004;Tower Hamlets;3;0,236369367
E02000868;Tower Hamlets 005;Tower Hamlets;7;0,949410009
E02000869;Tower Hamlets 006;Tower Hamlets;3;0,455304295
E02000870;Tower Hamlets 007;Tower Hamlets;3;0,433275563
E02000871;Tower Hamlets 008;Tower Hamlets;7;0,612745098
E02000872;Tower Hamlets 009;Tower Hamlets;2;0,220531481
E02000873;Tower Hamlets 010;Tower Hamlets;4;0,370713624
E02000874;Tower Hamlets 011;Tower Hamlets;1;0,124455507
E02000875;Tower Hamlets 012;Tower Hamlets;6;0,44127381
E02000876;Tower Hamlets 013;Tower Hamlets;1;0,122910521
E02000877;Tower Hamlets 014;Tower Hamlets;3;0,232306024
E02000878;Tower Hamlets 015;Tower Hamlets;3;0,255580167
E02000879;Tower Hamlets 016;Tower Hamlets;8;0,86411752
E02000880;Tower Hamlets 017;Tower Hamlets;1;0,152068127
E02000881;Tower Hamlets 018;Tower Hamlets;7;0,765110941
E02000882;Tower Hamlets 019;Tower Hamlets;11;1,050219591
E02000883;Tower Hamlets 020;Tower Hamlets;6;0,669120107
E02000884;Tower Hamlets 021;Tower Hamlets;2;0,152288129
E02000885;Tower Hamlets 022;Tower Hamlets;8;1,033858878
E02000886;Tower Hamlets 023;Tower Hamlets;2;0,218221495
E02000887;Tower Hamlets 024;Tower Hamlets;12;1,072961373
E02000888;Tower Hamlets 025;Tower Hamlets;1;0,09797198
E02000889;Tower Hamlets 026;Tower Hamlets;2;0,235710077
E02000890;Tower Hamlets 027;Tower Hamlets;0;0
E02000891;Tower Hamlets 028;Tower Hamlets;3;0,154846702
E02000893;Tower Hamlets 030;Tower Hamlets;6;0,74019245
E02000894;Tower Hamlets 031;Tower Hamlets;5;0,424556339
E02000895;Waltham Forest 001;Waltham Forest;10;1,218472036
E02000896;Waltham Forest 002;Waltham Forest;17;1,8699813
E02000897;Waltham Forest 003;Waltham Forest;5;0,583430572
E02000898;Waltham Forest 004;Waltham Forest;12;1,501689401
E02000899;Waltham Forest 005;Waltham Forest;3;0,345144961
E02000900;Waltham Forest 006;Waltham Forest;6;0,68119891
E02000901;Waltham Forest 007;Waltham Forest;4;0,390320062
E02000902;Waltham Forest 008;Waltham Forest;4;0,411311054
E02000903;Waltham Forest 009;Waltham Forest;3;0,307093868
E02000904;Waltham Forest 010;Waltham Forest;3;0,335908633
E02000905;Waltham Forest 011;Waltham Forest;7;0,680669
E02000906;Waltham Forest 012;Waltham Forest;2;0,209402157
E02000907;Waltham Forest 013;Waltham Forest;4;0,357973868
E02000908;Waltham Forest 014;Waltham Forest;5;0,398692289
E02000909;Waltham Forest 015;Waltham Forest;3;0,33281562
E02000910;Waltham Forest 016;Waltham Forest;6;0,552231937
E02000911;Waltham Forest 017;Waltham Forest;7;0,59686221
E02000912;Waltham Forest 018;Waltham Forest;5;0,535733419
E02000913;Waltham Forest 019;Waltham Forest;3;0,325027086
E02000914;Waltham Forest 020;Waltham Forest;12;1,05848108
E02000915;Waltham Forest 021;Waltham Forest;3;0,323519896
E02000916;Waltham Forest 022;Waltham Forest;4;0,410130216
E02000917;Waltham Forest 023;Waltham Forest;4;0,384024578
E02000918;Waltham Forest 024;Waltham Forest;3;0,305872757
E02000919;Waltham Forest 025;Waltham Forest;2;0,204185809
E02000920;Waltham Forest 026;Waltham Forest;3;0,290500629
E02000921;Waltham Forest 027;Waltham Forest;5;0,443655723
E02000922;Waltham Forest 028;Waltham Forest;6;0,54699608
E02000923;Wandsworth 001;Wandsworth;8;0,990712074
E02000924;Wandsworth 002;Wandsworth;7;0,508979859
E02000925;Wandsworth 003;Wandsworth;6;0,75547721
E02000926;Wandsworth 004;Wandsworth;5;0,458211144
E02000927;Wandsworth 005;Wandsworth;4;0,543625985
E02000928;Wandsworth 006;Wandsworth;0;0
E02000929;Wandsworth 007;Wandsworth;2;0,265111347
E02000930;Wandsworth 008;Wandsworth;1;0,093101201
E02000931;Wandsworth 009;Wandsworth;3;0,313512384
E02000932;Wandsworth 010;Wandsworth;3;0,260846883
E02000933;Wandsworth 011;Wandsworth;1;0,111049417
E02000934;Wandsworth 012;Wandsworth;1;0,101040719
E02000935;Wandsworth 013;Wandsworth;1;0,140134529
E02000936;Wandsworth 014;Wandsworth;2;0,218531469
E02000937;Wandsworth 015;Wandsworth;1;0,118778952
E02000938;Wandsworth 016;Wandsworth;2;0,179629962
E02000939;Wandsworth 017;Wandsworth;12;1,437814522
E02000940;Wandsworth 018;Wandsworth;1;0,115580213
E02000941;Wandsworth 019;Wandsworth;6;0,577867668
E02000942;Wandsworth 020;Wandsworth;5;0,520941863
E02000943;Wandsworth 021;Wandsworth;1;0,113237459
E02000944;Wandsworth 022;Wandsworth;6;0,832523935
E02000945;Wandsworth 023;Wandsworth;8;0,968523002
E02000946;Wandsworth 024;Wandsworth;3;0,352360817
E02000947;Wandsworth 025;Wandsworth;3;0,332005312
E02000948;Wandsworth 026;Wandsworth;7;0,705716302
E02000949;Wandsworth 027;Wandsworth;6;0,596006755
E02000950;Wandsworth 028;Wandsworth;2;0,265428003
E02000951;Wandsworth 029;Wandsworth;2;0,306889673
E02000952;Wandsworth 030;Wandsworth;2;0,327171602
E02000953;Wandsworth 031;Wandsworth;1;0,127372309
E02000954;Wandsworth 032;Wandsworth;3;0,481463649
E02000955;Wandsworth 033;Wandsworth;3;0,458155162
E02000956;Wandsworth 034;Wandsworth;3;0,368053
E02000957;Wandsworth 035;Wandsworth;2;0,181175831
E02000958;Wandsworth 036;Wandsworth;6;0,693882271
E02000959;Wandsworth 037;Wandsworth;3;0,35984167
E02000960;Westminster 001;Westminster;3;0,360750361
E02000961;Westminster 002;Westminster;6;0,534188034
E02000962;Westminster 003;Westminster;10;0,970308558
E02000963;Westminster 004;Westminster;9;0,813522553
E02000964;Westminster 005;Westminster;8;0,586381294
E02000965;Westminster 006;Westminster;3;0,318437533
E02000966;Westminster 007;Westminster;2;0,177999288
E02000967;Westminster 008;Westminster;4;0,400721298
E02000968;Westminster 009;Westminster;13;0,816890788
E02000969;Westminster 010;Westminster;10;0,923531585
E02000970;Westminster 011;Westminster;2;0,181011856
E02000971;Westminster 012;Westminster;4;0,41467966
E02000972;Westminster 013;Westminster;4;0,370988685
E02000973;Westminster 014;Westminster;1;0,087275266
E02000974;Westminster 015;Westminster;1;0,102124183
E02000975;Westminster 016;Westminster;5;0,481463649
E02000976;Westminster 017;Westminster;4;0,357174748
E02000977;Westminster 018;Westminster;1;0,135722041
E02000978;Westminster 019;Westminster;4;0,352640395
E02000979;Westminster 020;Westminster;8;0,776020953
E02000980;Westminster 021;Westminster;6;0,56264066
E02000981;Westminster 022;Westminster;2;0,194005238
E02000982;Westminster 023;Westminster;5;0,539083558
E02000983;Westminster 024;Westminster;5;0,50999592
E02006782;Bromley 040;Bromley;8;1,004898882
E02006783;Lewisham 037;Lewisham;4;0,523971706
E02006784;Lewisham 038;Lewisham;4;0,490136013
E02006785;Bexley 029;Bexley;3;0,450112528
E02006786;Greenwich 033;Greenwich;1;0,132837407
E02006787;Bromley 041;Bromley;2;0,246487552
E02006788;Croydon 045;Croydon;3;0,390320062
E02006789;Bromley 042;Bromley;2;0,311380975
E02006791;Ealing 040;Ealing;4;0,583345486
E02006792;Hounslow 029;Hounslow;6;0,678656261
E02006793;Enfield 037;Enfield;9;0,880798591
E02006794;Haringey 037;Haringey;7;0,81366965
E02006795;Harrow 032;Harrow;11;1,368840219
E02006796;Hillingdon 033;Hillingdon;2;0,216052717
E02006798;Lewisham 039;Lewisham;9;1,110562685
E02006799;Barking and Dagenham 023;Barking and Dagenham;5;0,451589595
E02006800;Redbridge 034;Redbridge;10;0,689464975
E02006801;Lambeth 036;Lambeth;0;0
E02006802;Southwark 034;Southwark;7;0,870430241
E02006836;Sutton 025;Sutton;8;0,944844691
E02006853;Tower Hamlets 032;Tower Hamlets;3;0,283822138
E02006854;Tower Hamlets 033;Tower Hamlets;1;0,124533001
E02006882;Harrow 033;Harrow;9;0,632777895
E02006918;Hackney 028;Hackney;2;0,21486893
E02006921;Hackney 029;Hackney;6;0,696055684
E02006924;Redbridge 035;Redbridge;7;0,511210107
E02006925;Redbridge 036;Redbridge;10;0,705168888
E02006927;Greenwich 034;Greenwich;9;0,887311446
E02006928;Greenwich 035;Greenwich;1;0,084545147
E02006929;Greenwich 036;Greenwich;5;0,412337127
E02006930;Greenwich 037;Greenwich;2;0,224517288
E02006931;Greenwich 038;Greenwich;6;0,618110642