Station,OS X,OS Y,Latitude,Longitude,Zone,Postcode
abbey-road,539081,183352,51.5319519867171,0.00372337109717115,3,E15 3NB
abbey-wood,547297,179002,51.490784095703106,0.120271969782359,4,SE2 9RH
acton-central,520613,180299,51.5087577801896,-0.263430199363473,2,W3 6BH
acton-main-line,520296,181196,51.5168869310483,-0.267689952184077,3,W3 9EH
acton-town,519457,179639,51.503071442963495,-0.28030270140601,3,W3 8HN
addington-village,537082,163744,51.356238590430095,-0.032665100391443,"3,4,5,6",CR0 5AR
addiscombe,534190,166290,51.379808289594095,-0.0732132828267587,"3,4,5,6",CR0 7AA
albany-park,547903,172902,51.435815606227706,0.126444637772442,5,DA5 3HP
aldgate,533629,181246,51.5143423787415,-0.0756269126501567,1,EC3N 1AH
aldgate-east,533809,181333,51.5150816226404,-0.0730014627258136,1,E1 7PT
alexandra-palace,530300,190498,51.59826282264971,-0.12014897219453599,3,N22 7ST
all-saints,538012,180933,51.5104769244406,-0.0126248853684833,2,E14 0EH
alperton,518025,183849,51.5412092743614,-0.299515758699207,4,HA0 4LL
amersham,496454,198181,51.6741293179421,-0.6065137893557739,9,HP6 5AZ
ampere-way,530674,166476,51.382299420009005,-0.123636799345144,"3,4,5,6",CR0 3JX
anerley,534656,169942,51.412516717902406,-0.0651371001212532,4,SE20 8PY
angel,531497,183263,51.53296801568911,-0.10558144894639801,1,N1 8XB
angel-road,535204,192202,51.61242031959001,-0.0487329193735463,4,N18 3AY
archway,529356,186827,51.5654905340774,-0.135121576677549,"2,3",N19 5RQ
arena,535192,167620,51.391522751976794,-0.0583185500805117,"3,4,5,6",SE25 4RY
arnos-grove,529271,192471,51.616230141680205,-0.134270218764562,4,N11 1AN
arsenal,531429,186107,51.5585413757193,-0.105499933602789,2,N5 1LP
avenue-road,535764,169335,51.40679798274421,-0.0494469371121275,"3,4,5,6",BR3 4NJ
baker-street,527965,182078,51.5231296204391,-0.15690419441262,1,NW1 5LA
balham,528482,173195,51.443182562032604,-0.152685163343656,3,SW12 9SG
bank,532704,181111,51.513347062296,-0.0890001239496697,1,EC3V 3LA
banstead,524590,160426,51.3292931229522,-0.213132336180543,6,SM7 1RB
barbican,532079,181859,51.5202152835411,-0.0977215786403087,1,EC1A 4JA
barking,544405,184343,51.539521113341294,0.0808316100128655,4,IG11 8TU
barkingside,544788,189510,51.5858506139378,0.0884766396392107,4,IG6 1NB
barnehurst,550206,176193,51.4647802868859,0.160948022415047,6,DA7 6HQ
barnes,522209,175705,51.4671277727085,-0.242033062031602,3,SW13 0LW
barnes-bridge,521478,176255,51.472228052683704,-0.25236261703581697,3,SW13 0NR
barons-court,524133,178322,51.4902286819759,-0.213430145064537,2,W14 9DP
battersea-park,528703,176999,51.477318323121004,-0.14812376166319502,2,SW8 4NB
battersea-power-station,529122,177252,51.47949657380939,-0.14200135253175,1,
bayswater,525845,180799,51.5121112883667,-0.18790157392744103,1,W2 4QH
beckenham-hill,538002,171379,51.424626057957,-0.0164957619832815,4,SE6 3NU
beckenham-junction,537403,169840,51.410941641376105,-0.0257017391507886,4,BR3 1HY
beckenham-road,536177,169650,51.4095297483599,-0.043391922075085,"3,4,5,6",BR3 4RR
beckton,543145,181509,51.51437662955401,0.0615252969323279,3,E6 5NT
beckton-park,542697,180887,51.50890079371221,0.0548219388642393,3,E6 5NE
becontree,547598,184442,51.5395854092624,0.12688029173904,5,RM9 4TP
beddington-lane,529367,167215,51.3892398819207,-0.142138434359917,"3,4,5,6",CR0 4TF
belgrave-walk,526805,168455,51.40096164639049,-0.17849647405351798,"3,4,5,6",CR4 4NY
bellingham,537702,172399,51.4338648934564,-0.0204117703162584,3,SE6 3BT
belmont,525500,162098,51.34411992456489,-0.19948925318398603,5,SM2 6BH
belsize-park,527399,185075,51.5501908776835,-0.163974492584094,2,NW3 2AL
belvedere,549498,179197,51.491959003102,0.15203379192465197,5,DA17 6JW
bermondsey,534461,179445,51.4979607802573,-0.0643300900477039,2,SE16 4RX
berrylands,519728,168040,51.398768406045896,-0.28032147745849295,5,KT5 8LT
bethnal-green,534995,182712,51.527191741204994,-0.0553921116245381,2,E2 0ET
bethnal-green-rail,534683,182380,51.5242827393666,-0.0600137426043104,2,E2 6JL
bexley,549399,173502,51.4408145305372,0.148203912973033,6,DA5 1AQ
bexleyheath,548294,176000,51.4635499575874,0.13336296501856,5,DA7 4AA
bickley,542304,168799,51.4003795691873,0.0443040315807173,5,BR1 2EB
birkbeck,535297,168996,51.4038630943054,-0.0562862357203351,4,BR3 4TA
blackfriars,531738,180890,51.5115869277802,-0.10299538523578698,1,EC4V 4DD
blackheath,539604,175961,51.4654080109124,0.008336594707660391,3,SE3 9LE
blackhorse-lane,534362,166844,51.3847461833949,-0.0705339478990595,"3,4,5,6",CR0 6NL
blackhorse-road,535914,189256,51.5857766270677,-0.0396257115532134,3,E17 6JJ
blackwall,538394,180649,51.5078315405334,-0.007235165880044379,2,E14 9QB
bond-street,528497,181053,51.51379752478379,-0.14961360982794597,1,W1C 2HU
borough,532379,179734,51.50104886940699,-0.0941973231491299,1,SE1 1JX
boston-manor,516391,178755,51.4957655352965,-0.32474718876578806,4,TW8 9LQ
bounds-green,529996,191466,51.607031921240704,-0.124177065625754,"3,4",N11 2EU
bow-church,537414,182824,51.527615203652,-0.0204998991998037,2,E3 3AA
bow-road,537148,182753,51.5270418067574,-0.0243595906651091,2,E3 4DH
bowes-park,530299,191498,51.6072495146955,-0.119792219172905,"3,4",N22 8NL
brent-cross,523905,187927,51.576599215060604,-0.21333584051056304,3,NW11 9UA
brentford,517462,177864,51.48753630712871,-0.30962253669470297,4,TW8 9LF
brentwood,559321,193036,51.6136103366992,0.29967281617211794,7,CM14 4EW
brimsdown,536297,196997,51.655244614441,-0.0310922769446394,5,EN3 7NA
brixton,531076,175437,51.4627368020741,-0.11455209758661801,2,SW9 8HE
brockley,536405,175801,51.4647496625814,-0.0377482505476242,2,SE4 2RW
bromley-north,540395,169699,51.4089423111557,0.0172354519396871,4,BR1 3NN
bromley-south,540431,168705,51.400001288709,0.017359580478029,5,BR1 1LX
bromley-by-bow,538034,182532,51.524840200182105,-0.0116823743599265,"2,3",E3 3BT
brondesbury,524718,184460,51.5452623623785,-0.20283848573229102,2,NW6 7QL
brondesbury-park,524202,183898,51.540325365754605,-0.21047394668161298,2,NW6 6RP
broxbourne,537407,207240,51.74701556808889,-0.0110240837883153,9,EN10 7AW
bruce-grove,533758,190115,51.5940112462336,-0.0703989896457386,3,N17 8AD
buckhurst-hill,541768,193957,51.626576660928,0.0467125412965725,5,IG9 5ET
burnham,494007,181378,51.523505045831,-0.646388232734108,,SL1 6JT
burnt-oak,520303,190728,51.6025519118101,-0.264330712266273,4,HA8 0LA
bush-hill-park,533696,195396,51.6414819592655,-0.0692804125005405,5,EN1 1BA
bushey,511860,195318,51.6455441595026,-0.384721541354714,8,WD19 4ST
caledonian-road,530568,184899,51.547885441027496,-0.118360861873635,2,N7 9BA
caledonian-road-and-barnsbury,530800,184393,51.5432845754194,-0.11520485671489998,2,N1 0SL
cambridge-heath,534855,183250,51.5320597642081,-0.0572032008235444,2,E2 7NA
camden-road,529140,184191,51.541851234203605,-0.13920311252229198,2,NW1 9LQ
camden-town,528920,183976,51.539969352277005,-0.142452381051009,2,NW1 8NH
canada-water,535399,179493,51.4981684118441,-0.0508071209954049,2,SE16 7BB
canary-wharf,537558,180153,51.5035784043688,-0.0194668401596637,2,E14 4QS
canning-town,539454,181350,51.513870287242,0.00830563274393741,3,E16 1DQ
cannon-street,532623,180888,51.5113620889071,-0.0902505268833338,1,EC4N 6AP
canonbury,532355,184979,51.548188385177,-0.0925741958211209,2,N1 2PG
canons-park,518208,191246,51.60765056954779,-0.29439159654004604,5,HA8 6RN
carpenders-park,511826,193386,51.628186717588605,-0.385829323805549,7,WD19 7DT
carshalton,527737,164858,51.368426365724,-0.16639832800089802,5,SM5 2HT
carshalton-beeches,527552,163625,51.3573868407117,-0.169496326135296,5,SM5 3LG
castle-bar-park,515853,181770,51.5229736652832,-0.331504076340438,4,W7 1AY
caterham,534099,155422,51.28216282260679,-0.0786072985674413,6,CR3 6LB
catford,537245,173544,51.4442649120205,-0.0265384985954206,3,SE6 4XT
catford-bridge,537363,173595,51.4446946250561,-0.0248218759437963,3,SE6 4RE
centrale,532067,165785,51.375767467771595,-0.103888103843675,"3,4,5,6",CR0 1XT
chadwell-heath,547646,187611,51.5680468782263,0.128901111583164,5,RM6 4BE
chafford-hundred,558922,178770,51.4855544959176,0.28747570068245,7,RM16 6QQ
chalfont-and-latimer,499610,197550,51.66790747919949,-0.56106777731917,8,HP7 9PR
chalk-farm,528126,184421,51.5441490864876,-0.153733070875137,2,NW3 2BP
chancery-lane,531096,181642,51.518494016584704,-0.11196202748568902,1,WC1V 6DR
charing-cross,530234,180492,51.5083586300048,-0.124802938133095,1,WC2N 5HS
charlton,541108,178387,51.4868349882394,0.0309416448024295,3,SE7 7AB
cheam,524444,163334,51.3554602429281,-0.214211283594169,5,SM3 8RZ
chelsfield,546944,164021,51.35626458259149,0.10898411971124199,6,BR6 6EU
chesham,496048,201650,51.705380020677296,-0.6114296571259019,9,HP5 1DH
cheshunt,536652,202307,51.7028733147507,-0.0238874154607898,8,EN8 9AQ
chessington-north,518415,164168,51.3642434424783,-0.30047612885525105,6,KT9 2RT
chessington-south,517974,163319,51.3567045306375,-0.307089020685885,6,KT9 2DD
chigwell,543835,193045,51.6178578723834,0.0761792150052964,4,IG7 6NT
chingford,539173,194628,51.633253373648,0.00951432552467428,5,E4 6AL
chipstead,527689,158275,51.30927498217871,-0.169445869499599,6,CR5 3TD
chislehurst,543205,169405,51.4055984084067,0.0574918214487956,5,BR7 5NN
chiswick,520438,177182,51.4807814945228,-0.267013321856982,3,W4 2QE
chiswick-park,520352,178692,51.4943707139869,-0.26773692216360995,3,W4 5NE
chorleywood,502596,196092,51.6542659264231,-0.518333926536853,7,WD3 5ND
church-street,532041,165555,51.373706561892995,-0.10434682889571101,"3,4,5,6",CR0 1RN
city-thameslink,531688,181150,51.5139350677627,-0.10361844917156099,1,EC4M 7JH
clapham-common,529428,175291,51.461803669852294,-0.13831490249485098,2,SW4 7AJ
clapham-high-street,529824,175709,51.4654695136715,-0.132464502577436,2,SW4 6DQ
clapham-junction,527198,175520,51.4643667842754,-0.170315002226266,2,SW11 2QP
clapham-north,530003,175652,51.464916214992506,-0.12991006289038198,2,SW4 7TS
clapham-south,528782,174259,51.4526764891153,-0.147984069598376,"2,3",SW12 9DU
clapton,534748,186531,51.5615690879152,-0.0574894584530427,2,E5 9JP
clock-house,536367,169545,51.4085405609855,-0.0407020925904992,4,BR3 4PR
cockfosters,528087,196424,51.6520244788699,-0.149916711073587,5,EN4 0DZ
colindale,521295,189937,51.5952305160491,-0.250287543714841,4,NW9 5HR
colliers-wood,526831,170436,51.41875918776179,-0.177415099875595,3,SW19 2HR
coombe-lane,535201,164089,51.3597893094901,-0.0595315713236646,"3,4,5,6",CR0 5RF
coulsdon-south,529869,159056,51.315800944170704,-0.137903090283073,6,CR5 3EA
coulsdon-town,530098,159802,51.322452953247996,-0.134347057284217,6,CR5 2JA
covent-garden,530242,180982,51.512760234858206,-0.12450689463272302,1,WC2E 9JT
crayford,551479,174424,51.448546757006,0.17850271627803999,6,DA1 3PY
crews-hill,530973,200109,51.6844746109419,-0.10684410075744,6,EN2 8AY
cricklewood,524009,185907,51.5584226684923,-0.21254793410145897,3,NW2 1HL
crofton-park,536517,174739,51.4551792922913,-0.036546581839275,3,SE4 2RA
crossharbour-and-london-arena,537896,179301,51.4958399792182,-0.0149328131018881,2,E14 8AD
crouch-hill,530586,187508,51.57132709751821,-0.11713328488972699,3,N4 4AU
croxley,507921,195395,51.647005280107,-0.44160379825288504,7,WD3 3DY
crystal-palace,534120,170557,51.41817035156179,-0.0726072327605205,"3,4",SE19 2AZ
custom-house,540679,180911,51.5096220567499,0.0257725102639474,3,E16 3BX
cutty-sark-for-maritime-greenwich,538240,177764,51.481944467916,-0.0105818667291609,2,SE10 9SW
cyprus,543324,180863,51.50852658125,0.0638407558302055,3,E6 5PH
dagenham-dock,548900,183000,51.526287196845296,0.145031014043306,5,RM9 6RA
dagenham-east,550284,185033,51.5441873390151,0.165833431683368,5,RM10 8AA
dagenham-heathway,549035,184665,51.541211790954705,0.14767972018313802,5,RM9 5AN
dalston-junction,533580,184778,51.546093715652106,-0.0749942048209628,2,E8 3DL
dalston-kingsland,533487,185062,51.5486678182555,-0.0762269219509382,2,E8 2JS
debden,544275,196133,51.645492001721,0.0838014748371958,6,IG10 3TG
denmark-hill,532697,176087,51.4682006393928,-0.0909878695789793,2,SE5 8BB
deptford,537165,177395,51.47889008359321,-0.0261963195716051,2,SE8 3NU
deptford-bridge,537466,176912,51.474476771881,-0.022052428800672996,"2,3",SE10 8BU
devons-road,537603,182233,51.5222584675869,-0.0180077541924364,2,E3 3QX
dollis-hill,522207,185132,51.551850590714395,-0.23879776168058803,3,NW10 5NB
drayton-green,516002,180998,51.516004675342906,-0.32961125970796695,4,W13 0JX
drayton-park,531426,185499,51.553078306953495,-0.10577019974838901,2,N5 1NT
dundonald-road,524741,170233,51.41739814673021,-0.207527112702531,"3,4,5,6",SW19 3QJ
ealing-broadway,517920,180915,51.514861974896405,-0.302010381444888,3,W5 2NU
ealing-common,518963,180426,51.5102486557265,-0.28715141790547805,3,W5 3LD
earls-court,525457,178480,51.4913566719448,-0.19431380928726502,"1,2",SW5 9QA
earlsfield,526081,173030,51.4422388073847,-0.187272688578691,3,SW18 4SW
east-acton,521656,181159,51.51626341426889,-0.24811222486180104,2,W12 0BP
east-croydon,532904,165801,51.375716101925704,-0.0918634960219951,5,CR0 1LF
east-dulwich,533449,175375,51.4616255828228,-0.0804365715036241,2,SE22 8EF
east-finchley,527242,189204,51.5873325447116,-0.164743886020014,3,N2 0NW
east-ham,542373,184255,51.5392461649047,0.0515162933203073,"3,4",E6 2JA
east-india,538729,180753,51.5086840062894,-0.00237033154909731,"2,3",E14 9PS
east-putney,524387,174840,51.4588797835326,-0.210998234182405,"2,3",SW15 6SN
eastcote,511191,187627,51.576551823245,-0.39682329933106103,5,HA5 1QZ
eden-park,537396,167598,51.3907961029416,-0.0266697155532036,5,BR3 3HQ
edgware,519527,192009,51.6142296221626,-0.275093666466036,5,HA8 7AW
edgware-road-bakerloo,527026,181778,51.5206453612591,-0.17053955158627696,1,W2 1DY
edgware-road-circledistricthammersmith-and-city,527227,181711,51.5199980431141,-0.16766825428113402,1,NW1 5DH
edmonton-green,534273,193590,51.62511570259439,-0.0616390194516995,4,N9 9DX
elephant-and-castle,531940,179144,51.495849382439204,-0.100738714840864,"1,2",SE1 6LW
elm-park,552446,185647,51.5491245841858,0.197252681986762,6,RM12 4RW
elmers-end,535788,168389,51.398291108624896,-0.0494638322785197,4,BR3 4EJ
elmstead-woods,542247,170656,51.4170806314648,0.0442293427243444,4,BR7 5EW
elstree-and-borehamwood,519098,196299,51.6528755760948,-0.27982861947405296,6,WD6 3LS
eltham,542690,174962,51.455662220801294,0.052329307733168,4,SE9 6UB
elverson-road,537848,176243,51.468372189945406,-0.016816376211146,"2,3",SE8 4LA
embankment,530406,180380,51.50731249477679,-0.12236733652715699,1,WC2N 6NS
emerson-park,553971,187918,51.569114908911295,0.220222934339532,6,RM11 2JR
enfield-chase,532181,196607,51.6527221112153,-0.0907042054849836,5,EN2 7AA
enfield-lock,536437,198737,51.6708461220463,-0.0283910701059887,6,EN3 6BW
enfield-town,532970,196544,51.6519700723096,-0.0793299220890822,5,EN1 1YB
epping,546197,201552,51.6936861661113,0.11382555274482599,6,CM16 4HW
epsom-downs,522805,159756,51.3236594388377,-0.23897022678043106,6,KT17 4JX
erith,551075,178096,51.4816476750127,0.174261289232435,6,DA8 1TY
essex-road,532114,184132,51.5406333108504,-0.0963655258956236,2,N1 2SU
euston,529587,182735,51.52866433052879,-0.133296471846732,1,NW1 2DU
euston-square,529587,182735,51.52866433052879,-0.133296471846732,1,NW1 2BN
ewell-east,522571,162152,51.345243876206204,-0.24150300137218803,6,KT17 1QR
ewell-west,521473,162654,51.3499911421544,-0.25708913304289,6,KT17 1TU
fairlop,544902,190655,51.5961095431963,0.0905932794268205,4,IG6 3HD
falconwood,544498,175394,51.459085796386205,0.0785096930122727,4,SE9 2RN
farringdon,531585,181844,51.5201956882975,-0.10484306195035001,1,EC1M 6BY
feltham,510601,173298,51.44787917299129,-0.40982448095176505,6,TW13 4BY
fenchurch-street,533434,180932,51.5115667058932,-0.0785541528077214,1,EC3M 4AJ
fieldway,537665,163212,51.351317007255,-0.0245032653661046,"3,4,5,6",CR0 0QA
finchley-central,525232,190664,51.600903250521895,-0.193220636879031,4,N3 2RY
finchley-road,526293,184703,51.5470961986729,-0.180050560513333,2,NW6 3BS
finchley-road-and-frognal,526035,185033,51.550119498240996,-0.18365120265213697,2,NW3 5HT
finsbury-park,531385,186784,51.5646354455769,-0.10588148617519001,2,N4 3JU
forest-gate,540447,185322,51.549316118809,0.0241890915067026,3,E7 0QH
forest-hill,535398,172943,51.43930831236939,-0.0533285044148391,3,SE23 3HD
fulham-broadway,525402,177244,51.480260903539104,-0.19554416374798997,2,SW6 1BY
fulwell,514832,171841,51.433942565399896,-0.349438524762415,6,TW2 5NY
gallions-reach,543873,180935,51.5090341399984,0.0717753944216077,3,E6 6FZ
gants-hill,543266,188432,51.5765529520727,0.0660840978012218,4,IG2 6UD
george-street,532432,165594,51.3739660568411,-0.0987181052186884,"3,4,5,6",CRO 1LA
gidea-park,552941,189306,51.58186574672871,0.20597698062300102,6,RM2 6BX
gipsy-hill,533321,171237,51.424469522694,-0.0838351675167364,3,SE19 1PL
gloucester-road,526196,178848,51.4944995577167,-0.18354355952647697,1,SW7 4SF
golders-green,525199,187471,51.57221553323521,-0.194834559142163,3,NW11 7RN
goldhawk-road,523131,179616,51.502076966571295,-0.227404006254784,2,W12 8EG
goodge-street,529505,181837,51.52061310945721,-0.13480769016588698,1,W1T 2HF
goodmayes,546462,187369,51.56618098240521,0.11172965428727501,4,IG3 9UH
gordon-hill,531889,197799,51.663502237466496,-0.0944732997864739,5,EN2 0QU
gospel-oak,528263,185677,51.555405293199605,-0.151301032571058,2,NW5 1LT
grange-hill,544963,192590,51.6134804256286,0.092272529661441,4,IG7 5QB
grange-park,531753,195472,51.642623077247706,-0.0973144238034144,5,N21 1RE
gravel-hill,536359,163536,51.3545432553855,-0.0431216987549667,"3,4,5,6",CR0 5BJ
great-portland-street,528861,182174,51.5237887958946,-0.14396142528077602,1,W1W 5PP
green-park,529012,180283,51.506760484493896,-0.14247757559748198,1,W1J 7BX
greenford,514808,183861,51.541980070868995,-0.34587874010203995,4,UB6 8PR
greenwich,537956,177267,51.477547664237605,-0.0148630836142616,"2,3",SE10 8JQ
grove-park,540702,172099,51.4304326436942,0.0225985021581947,4,SE12 0PW
gunnersbury,519843,178401,51.4918634114529,-0.27516413582292604,3,W4 5RP
hackbridge,528582,165929,51.377860899564396,-0.153879198222095,4,SM6 7BJ
hackney-central,534922,184943,51.5472574449828,-0.0555895119781322,2,E8 1LL
hackney-downs,534598,185137,51.549078085173996,-0.0601851050631527,2,E8 1LA
hackney-wick,537036,184588,51.543558406496,-0.0252595028052464,2,E9 5ER
hadley-wood,526197,198199,51.66840287108211,-0.176581189644067,6,EN4 0EJ
haggerston,533560,183953,51.538684730179206,-0.0755952580882811,2,E8 4DY
hainault,545124,191411,51.6028453270268,0.0941085503026948,4,IG6 3BD
hammersmith-district,523474,178483,51.49181977607929,-0.222860928771942,2,W6 9YA
hammersmith-met,523346,178665,51.4934833521202,-0.224640157433783,2,W6 0ED
hampstead,526408,185757,51.5565425953294,-0.17801455994679802,2,NW3 1QG
hampstead-heath,527344,185631,51.5551999245613,-0.164566183247471,3,NW3 2QD
hampton,513299,169797,51.4158795524432,-0.372135253741401,6,TW12 2HU
hampton-court,515376,168332,51.4022938774361,-0.34275715215215,6,KT8 9AE
hampton-wick,517407,169752,51.41464004231871,-0.313103609659083,6,KT1 4DQ
hanger-lane,518506,182621,51.5300720336304,-0.29299614555526504,3,W5 1DL
hanwell,515426,180560,51.5121859578482,-0.338051884444727,4,W7 3EB
harlesden,520952,183367,51.5362583277376,-0.257495674234359,3,NW10 8UT
harold-wood,554858,190626,51.5932022178275,0.23420407342479102,6,RM3 0BL
harringay,531395,188200,51.5773579093944,-0.10520825255084801,3,N4 1RW
harringay-green-lanes,531880,188189,51.5771458929243,-0.0982173917761519,3,N4 2NU
harrington-road,535002,168535,51.3997905718013,-0.0606999545568372,"3,4,5,6",SE25 4NF
harrow-and-wealdstone,515486,189508,51.592594632669496,-0.33425268508328304,5,HA3 7RF
harrow-on-the-hill,515329,188035,51.5793881186851,-0.33700151732302597,5,HA1 1BB
hatch-end,513024,191370,51.6098285039178,-0.369178780976322,6,HA5 5LZ
hatton-cross,509614,175369,51.466685304207,-0.42338056342404795,"5,6",TW6 3PF
haydons-road,526012,171161,51.42545731820599,-0.18892935935140398,3,SW19 8SL
hayes,540003,165993,51.37573670682939,0.0101426524637168,5,BR2 7EN
hayes-and-harlington,509717,179417,51.5030490745061,-0.420641903606725,5,UB3 4BX
headstone-lane,513892,190574,51.6024996261806,-0.356907514381109,5,HA2 6NB
heathrow-terminal-4,507939,174565,51.4597804296919,-0.447729589959589,6,TW6 3AA
heathrow-terminal-5,504934,175642,51.470025425890505,-0.490647503171403,6,TW6 2GA
heathrow-terminals-1-2-3,507587,175838,51.471289400668795,-0.452407225588878,6,TW6 1EB
hendon,522143,188271,51.5800749832165,-0.23863052060312398,"3,4",NW4 4PT
hendon-central,522959,188631,51.583133046747704,-0.226734140088258,"3,4",NW4 3AS
herne-hill,531934,174486,51.453991369728605,-0.102562908313382,"2,3",SE24 0JW
heron-quays,537386,180127,51.503386568845904,-0.0219535320624432,2,E14 4JH
high-barnet,525027,196310,51.6516882533421,-0.194165380168301,5,EN5 5RP
high-street-kensington,525622,179527,51.5007294453891,-0.19156605762672196,1,W8 5SA
highams-park,538581,191841,51.6083559935251,-0.000135285919517002,4,E4 9LA
highbury-and-islington,531562,184770,51.5464955066651,-0.10408213986369699,2,N1 1SE
highgate,528503,188158,51.5776466172769,-0.14693486218376503,3,N6 5BH
hillingdon,507567,185015,51.55377751590571,-0.449897993430179,6,UB10 9NR
hither-green,538997,174497,51.452401722174905,-0.000970912324506991,3,SE13 5NF
holborn,530553,181488,51.51723573506929,-0.11984050743238,1,WC2B 6AA
holland-park,524564,180215,51.50714648390579,-0.206557777890637,2,W11 3RB
holloway-road,530930,185457,51.5528161033705,-0.11293569695285,2,N7 8HS
homerton,536108,184901,51.546595446617204,-0.0385123471042932,2,E9 5SD
honor-oak-park,536002,174221,51.450648240761204,-0.0441531211420576,3,SE23 3LE
hornchurch,553931,186274,51.5543551095852,0.218926996584347,6,RM12 6LS
hornsey,530911,189202,51.5864748515145,-0.111815638121109,3,N8 8SE
hounslow,513902,174998,51.4625048175857,-0.36179625601988596,5,TW3 3DL
hounslow-central,513592,175928,51.470925765892105,-0.36595812917284204,4,TW3 1JG
hounslow-east,514327,176254,51.47370789438,-0.35527532185487004,4,TW3 4AB
hounslow-west,512215,176140,51.47310571581671,-0.385707628650378,5,TW3 3DH
hoxton,533582,183142,51.5313916125251,-0.0755856472034941,"1,2",E2 8HR
hyde-park-corner,528330,179801,51.502584012708205,-0.15247411397848998,1,SW1X 7LY
ickenham,508127,185811,51.5608250533895,-0.4415795126425979,6,UB10 8PD
ilford,543501,186501,51.55914224152411,0.0686851908980356,4,IG1 4DU
imperial-wharf,526299,176674,51.4749389270134,-0.182837504741453,2,SW6 2HA
island-gardens,538228,178432,51.48795008812039,-0.0104933031356475,2,E14 3FA
isleworth,515570,176430,51.475037423644,-0.33732876508971604,4,TW7 4BX
iver,503729,179898,51.5085021291707,-0.506740433924359,,SL0 9AU
kenley,532400,160100,51.3246003124125,-0.10121971276229902,6,CR8 5JA
kennington,531660,178337,51.488662458334105,-0.10507061341036901,2,SE11 4JQ
kensal-green,523241,182784,51.53052421415789,-0.224713384073025,2,NW10 5JT
kensal-rise,523501,183201,51.5342150645901,-0.220820978659314,2,NW10 3NT
kensington-olympia,524324,179178,51.497879699178704,-0.21037924233911398,2,W14 0NE
kent-house,535999,170000,51.4127176592102,-0.0458155531797617,4,BR3 1HY
kentish-town,529029,185096,51.55000952169021,-0.140471263842415,2,NW5 2AA
kentish-town-west,528603,184700,51.546547969524404,-0.146756409869457,2,NW5 3LD
kenton,516833,188304,51.581496283816904,-0.31521686661349896,4,HA3 0XS
kew-bridge,518898,178172,51.4900046159748,-0.288846494745842,3,TW8 0EF
kew-gardens,519173,176708,51.4767891362521,-0.285381011417179,"3,4",TW9 3PZ
kidbrooke,540999,175697,51.46269018793261,0.028300239135906003,3,SE3 9NF
kilburn,524589,184644,51.54694443536611,-0.204632719131385,2,NW6 7QL
kilburn-high-road,525553,183591,51.5372677411075,-0.19111310573360998,2,NW6 7QL
kilburn-park,525361,183349,51.535135536904896,-0.193966057123936,2,NW6 5AD
king-george-v,543231,180135,51.50200860735471,0.0622062138768401,3,E16 2JF
king-henrys-drive,537978,162558,51.3453640975883,-0.0202647574466554,"3,4,5,6",CR0 0LH
kings-cross,530312,182991,51.530798190907895,-0.12275642139720801,1,N1 9AL
kings-cross-st-pancras,530236,182935,51.5303124622023,-0.123872129573615,1,N1 9AL
kingsbury,519361,188739,51.58487651699329,-0.278601608230903,4,NW9 9EG
kingston,518244,169549,51.4126417642477,-0.30114104020204996,6,KT1 1UJ
kingswood,524816,156585,51.294723138992005,-0.211233226116293,6,KT20 6EN
knightsbridge,527765,179650,51.5013548976071,-0.16066448611880801,1,SW3 1ED
knockholt,548499,162896,51.3457519392544,0.130831038819843,6,TN14 7HR
