Station,OS X,OS Y,Latitude,Longitude,Zone,Postcode
ladbroke-grove,524284,181328,51.5172106734536,-0.210198172458574,2,W10 6HJ
ladywell,537716,174884,51.4561921350751,-0.019244401145345,3,SE13 7XB
lambeth-north,531165,179489,51.499129945865796,-0.11176826118096302,1,SE1 7XG
lancaster-gate,526711,180796,51.511890943083706,-0.175429928574922,1,W2 4QH
langdon-park,537807,181863,51.5188839383514,-0.0152137989598117,2,E14 6NW
langley,501299,179800,51.508061658386296,-0.541770573194088,,SL3 6DB
latimer-road,523789,180954,51.5139580984839,-0.217459666065143,2,W10 6SZ
lea-bridge,536175,187133,51.5666362612654,-0.0366831577380684,3,E10 7PG
lebanon-road,533385,165756,51.3751989969703,-0.0849736491745109,"3,4,5,6",CR0 6SF
lee,540002,174197,51.4494585198825,0.013364692370396999,3,SE12 9JG
leicester-square,529987,180812,51.5112911816198,-0.128242147580481,1,WC2H 0AP
lewisham,538163,175863,51.464880713235395,-0.0124327009058803,"2,3",SE13 7RY
leyton,538295,186244,51.5581322702431,-0.00646533158243596,3,E10 5PS
leyton-midland-road,538150,187490,51.569364239337,-0.00806634743339343,3,E10 6JT
leytonstone,539345,187429,51.5685222890996,0.00914045195130117,"3,4",E11 1HE
leytonstone-high-road,539298,186903,51.5638073441885,0.00825446883118232,3,E11 4RE
limehouse,536150,181087,51.5123121635383,-0.0393800777495485,2,E14 7JD
liverpool-street,533160,181596,51.5175982643439,-0.0822496222771093,1,EC2M 7PR
lloyd-park,533711,164549,51.36427553515411,-0.0807462730721692,"3,4,5,6",CR0 5RA
london-bridge,532937,180152,51.5046743475629,-0.0860055981730393,1,SE1 2SW
london-city-airport,542231,180294,51.5036896641552,0.0478727154448085,3,E16 2DS
london-fields,534795,184212,51.5407188411011,-0.0576996864103553,2,E8 3PH
loughborough-junction,531902,175897,51.4666788998768,-0.102497341535979,2,SW9 8SA
loughton,542314,195641,51.641570477697705,0.0552790791032814,6,IG10 4PD
lower-sydenham,536831,171372,51.424846842511606,-0.033330341542937,4,SE26 5AU
maida-vale,525967,182792,51.5299950567181,-0.18543264693135394,2,W9 1JS
maidenhead,488724,180745,51.5186686080904,-0.722674941080623,,SL6 1EW
malden-manor,521101,166497,51.3846095360584,-0.26112041639888195,4,KT3 5PN
manor-house,532074,187482,51.570747140220206,-0.0956849762588548,"2,3",N4 1BZ
manor-park,541929,185757,51.5528543500504,0.045723870060229,"3,4",E12 5EP
mansion-house,532347,180962,51.512091750122096,-0.0941976577543322,1,EC4N 6JD
marble-arch,527875,181056,51.51396549179051,-0.158571216249827,1,W1C 2JS
maryland,539175,184881,51.545668271034295,0.00568165418182294,3,E15 1SA
marylebone,527510,181985,51.5223966684401,-0.163492563860306,1,NW1 6JJ
maze-hill,539194,177909,51.483013656524705,0.00320489681765471,3,SE10 9XG
merton-park,525182,169798,51.4133916084448,-0.20134203116671104,"3,4,5,6",SW19 3HA
mile-end,536577,182545,51.5253109704202,-0.0326660843305231,2,E3 4DH
mill-hill-broadway,521300,191900,51.612871127886,-0.249537068494836,4,NW7 2JU
mill-hill-east,524057,191460,51.60831664462871,-0.20989571287373104,4,NW7 1BS
mitcham,527345,168082,51.3974886140722,-0.170871647171924,"3,4,5,6",CR4 4BD
mitcham-eastfields,528488,169323,51.40838390986529,-0.15400171880056798,3,CR4 2ND
mitcham-junction,528292,167611,51.39304256794371,-0.157436643661822,4,CR4 4HN
monument,532907,180814,51.510630415901794,-0.0861883136877794,1,EC4R 9AA
moor-park,508563,193509,51.62993066541039,-0.43291302742675797,"6,7",HA6 2JQ
moorgate,532688,181677,51.5184371390077,-0.0890176878750945,1,EC2M 6TX
morden,525664,168563,51.402185961613505,-0.19485198172341897,4,SM4 5AZ
morden-road,525788,169310,51.408871889006,-0.19280567725151998,"3,4,5,6",SW19 3BX
morden-south,525301,167900,51.396307697574905,-0.200301562051216,4,SM4 5AN
mornington-crescent,529193,183359,51.5343622173569,-0.138744349838543,2,NW1 2JA
mortlake,520458,175779,51.46816793609101,-0.267203313914429,3,SW14 8LN
motspur-park,522581,167724,51.395319626608895,-0.239439745975172,4,KT3 6JJ
mottingham,542600,173197,51.439824976607,0.0503242021767052,4,SE9 4EN
mudchute,537908,178789,51.491236185337705,-0.0149599448927628,2,E14 9UW
neasden,521415,185422,51.554627717006504,-0.250115045332305,3,NW10 1PH
new-addington,538187,162255,51.3425905089639,-0.0173833270853994,"3,4,5,6",CR0 0DE
new-barnet,526502,195996,51.64853676980061,-0.17296971401988095,5,EN5 1QT
new-beckenham,536718,170463,51.416705548656,-0.0353049493204362,4,BR3 1QW
new-cross,536750,177110,51.4764294151816,-0.0322788115029916,2,SE14 6LD
new-cross-gate,536250,176967,51.4752649281612,-0.0395290519360524,2,SE14 6AR
new-eltham,544005,172999,51.437690660187705,0.0704446183922663,4,SE9 2AB
new-malden,521392,168612,51.4035559067229,-0.256218106160674,4,KT3 4PX
new-southgate,528672,192218,51.614093666574895,-0.143009776041921,4,N11 1QH
newbury-park,544947,188378,51.5756383559361,0.090303157711892,4,IG2 7RN
nine-elms,530058,177332,51.48000125715671,-0.12850098378527,1,
norbiton,519424,169495,51.4119093510218,-0.284199947894883,5,KT2 7AZ
norbury,530650,169690,51.41118850287211,-0.12279940184469999,3,SW16 3RW
north-acton,520831,181937,51.5234324274314,-0.259729527847009,"2,3",W3 6UP
north-dulwich,532950,174567,51.4544818086691,-0.0879186807179378,"2,3",SE21 7BX
north-ealing,518816,181243,51.5176222888529,-0.288993552615282,3,W5 3AF
north-greenwich,539168,179827,51.5002551525582,0.00358625912485761,"2,3",SE10 0PH
north-harrow,513540,188578,51.584631298927405,-0.3626329932634129,5,HA2 7SR
north-sheen,519132,175442,51.4654196112512,-0.286397466744351,3,TW9 4QA
north-wembley,517663,186198,51.56239629153811,-0.30394821929308,4,HA0 3NT
northfields,517051,179296,51.500491670459795,-0.31506481877021597,3,W13 9QU
northolt,513228,184519,51.548212900955,-0.368440595510011,5,UB5 4AA
northolt-park,513829,185579,51.5576190512839,-0.35943419638260105,5,UB5 4XE
northumberland-park,534861,191035,51.6020157330995,-0.0541320256381381,3,N17 0HY
northwick-park,516634,187967,51.57850868801479,-0.31819939191086705,4,HA3 0AT
northwood,509236,191441,51.611213610715,-0.423837786672373,6,HA6 2XL
northwood-hills,510267,190305,51.600802645329296,-0.409311357826304,6,HA6 1NZ
norwood-junction,534001,168193,51.3969543221338,-0.0752098565302298,4,SE25 5AG
notting-hill-gate,525296,180481,51.50937533634539,-0.19592161845508502,"1,2",W11 3HT
nunhead,535293,175975,51.4665799841859,-0.0536797426440658,2,SE15 3XE
oakleigh-park,527001,194800,51.6376763630458,-0.16619496659508598,4,EN5 1BU
oakwood,529349,195968,51.6476379604749,-0.131853539818674,5,N14 4UT
ockendon,559004,182828,51.5219896452329,0.29048347505578903,7,RM15 6PD
old-street,532764,182474,51.525581471626,-0.0876229578285339,1,EC1V 9NR
orpington,545500,165900,51.3735200472526,0.0890289014663727,6,BR6 0SX
osterley,514529,177094,51.4812168100862,-0.35209609607353903,4,TW7 4PU
oval,531108,177516,51.4814126004267,-0.11332107586241001,2,SE11 4PP
oxford-circus,529102,181227,51.5152234024753,-0.140836171281216,1,W1C 2JS
paddington,526680,181185,51.5153937854761,-0.17573675205718,1,W2 1RH
palmers-green,530925,192798,51.6187867479936,-0.11027250002440801,4,N13 4PN
park-royal,519074,182274,51.5268340201739,-0.28492891769302303,3,W5 3EL
parsons-green,525029,176645,51.474960152611295,-0.20112449236141197,2,SW6 4HU
peckham-rye,534152,176271,51.46951136473821,-0.0699835531862991,2,SE15 5DQ
penge-east,535374,170791,51.4199753489725,-0.0544952648066812,4,SE20 7BQ
penge-west,534952,170567,51.4180629281155,-0.0606457645522225,4,SE20 8NU
perivale,516404,183270,51.536341821196096,-0.32307042198110697,4,UB6 7NP
petts-wood,544440,167548,51.3885989909001,0.074480029768347,5,BR5 1LZ
phipps-bridge,526534,168717,51.4033767278033,-0.18229678887655199,"3,4,5,6",CR4 3QN
piccadilly-circus,529612,180625,51.5096967485824,-0.133711597193113,1,W1J 9HS
pimlico,529711,178386,51.4895528621095,-0.13310825841606,1,SW1V 2JA
pinner,512233,189409,51.5923616780875,-0.38122379020978003,5,HA5 5LZ
plaistow,540058,183305,51.53128833503511,0.0177806419767876,3,E13 0DY
plumstead,544803,178820,51.4897924244717,0.0842996165468695,4,SE18 7EA
ponders-end,536097,195599,51.64273069128,-0.0345251045263664,5,EN3 4LA
pontoon-dock,541226,180102,51.5022162156561,0.0333257074807419,3,E16 2SB
poplar,537698,180603,51.507588070486,-0.0172754933083506,2,E14 0DS
preston-road,518260,187292,51.572103728155795,-0.294972012548964,4,HA3 0PS
prince-regent,541215,180905,51.509434549718,0.0334885740458409,3,E16 3HE
pudding-mill-lane,537930,183585,51.534327854309,-0.0127685119528796,"2,3",E15 2PH
purfleet,555417,178174,51.4811730060298,0.23677483579254102,7,RM16 1PL
purley,531500,161497,51.337363554122604,-0.113613517836059,6,CR8 2AP
purley-oaks,532503,162594,51.3469893399568,-0.0988153330628922,6,CR2 0ND
putney,523992,175061,51.46095253051271,-0.216603373518713,"2,3",SW15 1RT
putney-bridge,524476,175842,51.4678653375334,-0.20936541684838395,2,SW6 3UH
queens-park,524612,183239,51.534312650570094,-0.20479814938675697,2,NW6 6HJ
queens-road-peckham,535015,176825,51.4742847092653,-0.057354978856183,2,SE15 2JR
queensbury,518802,189728,51.5938829754361,-0.286331597393279,4,HA8 5NP
queenstown-road,528763,176738,51.474959127149496,-0.147355312102418,2,SW8 3RX
queensway,525883,180615,51.510449232949895,-0.18741990308706696,1,W2 4SS
rainham,552097,182099,51.5173405152786,0.19069197549114,6,RM13 9YH
ravensbourne,538699,170201,51.4138703786316,-0.00693781553200695,4,BR3 5HE
ravenscourt-park,522558,178711,51.4940679805396,-0.235969233097656,2,W6 0UG
rayners-lane,512979,187538,51.5753967323171,-0.3710608137742671,5,HA5 5EG
raynes-park,523206,169303,51.4093753455167,-0.22991293934755702,4,SW20 8NE
reading,471527,173813,51.458786156804706,-0.9718776761981079,,RG1 1LZ
rectory-road,534001,186199,51.558763476696605,-0.0683856647215925,2,N16 7QB
redbridge,541833,188371,51.5763669173707,0.0453940439621216,4,IG4 5BG
reedham,530835,160821,51.3314417130642,-0.12340262441461,6,CR8 2DG
reeves-corner,531895,165726,51.3752772004597,-0.10637977823085001,"3,4,5,6",CR0 1XP
regents-park,528765,182174,51.523810673214996,-0.145344410943574,1,NW1 5HA
richmond,518072,175174,51.4632328858425,-0.30173913400666696,4,TW9 2AZ
rickmansworth,505717,194605,51.6403230144667,-0.473684584103803,7,WD3 1QY
riddlesdown,532497,161001,51.3326748309249,-0.0994936674782967,6,CR8 1HN
roding-valley,541612,192882,51.61695644608461,0.0440262070089692,4,IG9 6LN
romford,551377,188455,51.5746415918762,0.183055272296591,6,RM1 1SX
rotherhithe,535239,179870,51.501594504831196,-0.0529662964141603,2,SE16 4LF
royal-albert,542029,180823,51.5084938696371,0.0451771450658638,3,E16 2QD
royal-oak,525764,181485,51.5182943526052,-0.188823673616337,2,W2 6ET
royal-victoria,540139,180833,51.50905523506479,0.017965412568385,3,E16 1DE
ruislip,509510,187102,51.5721619209745,-0.421234925940202,6,HA4 8LD
ruislip-gardens,510367,185763,51.559960178137295,-0.40929411114266095,5,HA4 6LG
ruislip-manor,510088,187258,51.573451574510095,-0.412849354371243,6,HA4 9AA
russell-square,530207,182122,51.523013038091094,-0.12459019776958,1,WC1N 1LG
sanderstead,532855,162743,51.3482462536541,-0.09370850005418402,6,CR2 0PL
sandilands,533869,165749,51.37502227214971,-0.0780265897730704,"3,4,5,6",CR0 5PN
selhurst,532993,167636,51.392185769913596,-0.0898990370877537,4,SE25 6LL
seven-kings,545401,187095,51.5639933517618,0.0963195747390778,4,IG3 8RE
seven-sisters,533646,188927,51.58336215999121,-0.0724668228194505,3,N15 5LA
shadwell,534936,180942,51.5113001552667,-0.0569192071261326,2,E1 2QE
shenfield,561356,195022,51.6308730972021,0.32995226436017605,7,CM15 8JD
shepherds-bush,523741,179904,51.504532150984105,-0.218519159443698,2,W12 8LH
shepherds-bush-market,523121,180039,51.505880708107206,-0.227400493416075,2,W12 7JD
shoreditch-high-street,533501,182258,51.5234668189696,-0.0770874246719852,1,E1 6AW
shortlands,539399,169300,51.40560236679521,0.00276754438906633,4,BR2 0JA
sidcup,546300,172698,51.434398457571,0.103315359084748,5,DA15 7AW
silver-street,533544,192472,51.6152424779722,-0.0725897415602479,4,N18 1QX
slade-green,552250,176584,51.467747655153104,0.190518387554055,6,DA8 2NX
sloane-square,528080,178657,51.4923597642465,-0.156488857475889,1,SW1W 8BB
slough,497838,180157,51.5118798500969,-0.591524845704201,,SL1 1XW
snaresbrook,540161,188828,51.5808912737665,0.0214639277817424,4,E11 1QE
south-acton,520166,179279,51.4996858283591,-0.270215207515349,3,W3 0DS
south-bermondsey,535156,178319,51.487676615354005,-0.0547548212374044,2,SE16 2PL
south-croydon,532896,164358,51.362750197983395,-0.0925173632865502,5,CR2 7PA
south-ealing,517605,179437,51.501644020742795,-0.30704024495136606,3,W5 4QB
south-greenford,515462,182991,51.5340275571579,-0.33673748201007797,4,UB6 2WE
south-hampstead,526425,184081,51.5414768475966,-0.17837119996038697,2,NW8 0DJ
south-harrow,514334,186376,51.564680168418896,-0.351893970947759,5,HA2 8HN
south-kensington,526865,178817,51.494071365584205,-0.17392302309209898,1,SW7 2NB
south-kenton,517350,187153,51.5710444494788,-0.30814297729179496,4,HA9 8QT
south-merton,524917,168662,51.4032405551849,-0.20555030134116398,4,SW20 9JT
south-quay,537636,179853,51.5008636064987,-0.0184606926832228,2,E14 9SH
south-ruislip,511080,185437,51.5568903024427,-0.399115910294711,5,HA4 6TP
south-tottenham,533697,188599,51.580402586226796,-0.0718559566013612,3,N15 6ND
south-wimbledon,525828,170033,51.4153607099116,-0.19197454623853302,"3,4",SW19 1DE
south-woodford,540577,190026,51.591552616345396,0.027943078326038998,4,E18 1JJ
southall,512620,179804,51.5059569116018,-0.378711189802266,4,UB2 4AA
southbury,534803,196199,51.6484337253443,-0.0529833105595679,5,EN3 4HW
southfields,524730,173291,51.444883313434495,-0.20660938557051503,3,SW18 5RJ
southgate,529675,194278,51.63237584819041,-0.127770047251446,4,N14 5BH
southwark,531566,180025,51.5038536204048,-0.105794939570331,1,SE1 8NW
st-helier,525408,167191,51.3899121636438,-0.19901459195506302,4,SM4 6SF
st-james-street,536402,188694,51.580608664081296,-0.0328045617393515,3,E17 7PJ
st-johns,537400,176298,51.4689752947396,-0.0232406618355604,2,SE8 4EW
st-margarets,516732,174250,51.4552059913457,-0.321324247881547,4,TW1 2LH
st-mary-cray,546698,168298,51.3947594079163,0.107217899555122,6,BR5 3SN
st-pancras,530122,182959,51.53055440168139,-0.12550578197006002,1,NW1 2QP
st-jamess-park,529629,179503,51.49960979443029,-0.133878755377767,1,SW1H 0BD
st-johns-wood,526742,183352,51.5348544108574,-0.17406484041938902,2,NW8 6DN
st-pauls,532105,181261,51.51483529593371,-0.0975710006650858,1,EC2V 6AA
stamford-brook,521913,178738,51.494449967762606,-0.245246309525915,2,W6 0SB
stamford-hill,533381,187928,51.5744476037189,-0.0766683419097026,3,N16 5AG
stanmore,517574,192569,51.6196734439499,-0.303099292944956,5,HA7 4PD
star-lane,539148,182091,51.5206042511229,0.00419100262681453,3,E16 4SR
stepney-green,535566,182149,51.5219958335811,-0.0473825233217984,2,E1 4AQ
stockwell,530473,176470,51.4721592557897,-0.122846304228405,2,SW9 9AE
stoke-newington,533710,186845,51.5646376099448,-0.0723353946781513,2,N16 6YA
stonebridge-park,519690,184197,51.5439865540715,-0.27540044151891496,3,NW10 0RW
stoneleigh,522021,164155,51.3633640523036,-0.24870965707129,5,KT17 2JA
stratford,538533,184421,51.54169257936171,-0.00375164102765845,3,E15 1AZ
stratford-high-street,538729,184032,51.538148951559,-0.0010803560037602699,3,E15 3PA
stratford-international,538175,184758,51.54480853480829,-0.008778434016595671,3,E15 2LZ
strawberry-hill,515500,172502,51.439747832120894,-0.339617731106479,5,TW1 4PP
streatham,529946,171303,51.42584586267,-0.132325496748753,3,SW16 6HP
streatham-common,529729,170534,51.418984670787296,-0.135726165100961,3,SW16 5NT
streatham-hill,530233,172714,51.4384603654093,-0.127681481482866,3,SW2 4PA
sudbury-and-harrow-road,516853,185300,51.554493783405505,-0.315926241750592,4,HA0 2HA
sudbury-hill,515427,185584,51.5573395592764,-0.336392115131209,4,HA1 3RA
sudbury-hill-harrow,515490,185697,51.5583422723845,-0.335446693118045,4,HA1 3RJ
sudbury-town,516832,184955,51.551397442548506,-0.316343485736328,4,HA0 2LA
sundridge-park,540599,170200,51.4133937992276,0.0203651090029858,4,BR1 3TR
surbiton,518070,167315,51.3925995331194,-0.30438455983035306,6,KT6 4PE
surrey-quays,535641,178954,51.4932668568496,-0.0475299876540577,2,SE16 2UE
sutton,526028,163823,51.359506135223505,-0.19130201116946,5,SM1 1JA
sutton-common,525593,165598,51.375554694893395,-0.19691991238579803,4,SM1 3HY
swiss-cottage,526611,184259,51.5430348466642,-0.17562660443027803,2,NW3 6HY
sydenham,535311,171609,51.42734125177,-0.0550886709366784,3,SE26 5EU
sydenham-hill,533548,172145,51.4325758875121,-0.0802302078783204,3,SE21 7HW
syon-lane,516306,177163,51.481474687780704,-0.326495034576377,4,TW7 5NT
tadworth,523097,156199,51.291627864118794,-0.23600801588635797,6,KT20 5SP
taplow,491579,181340,51.5235619550452,-0.6813848785261789,,SL6 0NU
tattenham-corner,522593,158140,51.3091813104276,-0.242566272809415,6,KT18 5PR
teddington,516019,170817,51.4244974970743,-0.332705337018505,6,TW11 9AA
temple,530995,180810,51.5110406072706,-0.113725750277665,1,WC2R 2PH
thames-ditton,515721,166818,51.38861607207439,-0.338292837634167,6,KT7 0PA
theobalds-grove,535933,201119,51.69237258898521,-0.0347481344111863,7,EN8 7BG
therapia-lane,530290,166843,51.385685790778204,-0.129017106854559,"3,4,5,6",CR0 3DD
theydon-bois,545509,199180,51.6725520831721,0.10289073625208199,6,CM16 7EU
thornton-heath,532242,168317,51.3984810780709,-0.100433165116845,4,CR7 8RX
tolworth,519834,165603,51.376843316034794,-0.2796201149932,5,KT5 9NU
tooting,527969,170591,51.41989663254461,-0.161002472127555,3,SW17 9JR
tooting-bec,528015,172366,51.435838064106704,-0.159700492309773,3,SW17 9AH
tooting-broadway,527415,171373,51.4270491448249,-0.16868452742757,3,SW17 0SU
tottenham-court-road,529774,181354,51.51621087007461,-0.131110438934185,1,W1D 2DA
tottenham-hale,534483,189465,51.587997778177204,-0.0601878226919314,3,N17 9LR
totteridge-and-whetstone,526111,193951,51.6302467196558,-0.179354263099613,4,N20 9QP
tower-gateway,533725,180809,51.5103926423114,-0.0744098772286296,1,EC3N 1JL
tower-hill,533566,180805,51.5103942732372,-0.0767011984581268,1,EC3N 4DJ
tufnell-park,529200,185816,51.556440797934705,-0.137742175150487,2,N19 5QB
tulse-hill,531797,172903,51.439797427529896,-0.10512250909584099,3,SE27 9BW
turkey-street,535129,198903,51.672653660962,-0.0472299313571245,6,EN3 5TT
turnham-green,521267,178804,51.495181941248596,-0.25452456805284,2,W4 1LR
turnpike-lane,531524,189650,51.59035813391561,-0.102805041186646,3,N15 3NX
twickenham,516221,173687,51.4502509473096,-0.328860226374421,5,TW1 1BD
twyford,479041,175787,51.475533940095794,-0.863307036532562,,RG10 9NA
upminster,556167,186833,51.5587633566288,0.251400801076897,6,RM14 2TD
upminster-bridge,555002,186681,51.5577188010339,0.23454188868617798,6,RM12 6PL
upney,545844,184260,51.538405647702,0.10153174405096499,4,IG11 9LS
upper-holloway,529778,186630,51.563623304644004,-0.129109363657748,2,N19 4DJ
upper-warlingham,534100,158383,51.30877225465571,-0.0774816619121048,6,CR3 0EP
upton-park,541204,183931,51.5366282006416,0.0345418396504738,3,E13 9AP
uxbridge,505698,184161,51.5464545066041,-0.477101559701882,6,UB8 1JZ
vauxhall,530366,177978,51.485735801715705,-0.123829952856406,"1,2",SW8 1SR
victoria,528941,179131,51.4964239527317,-0.143920706325316,1,SW1E 5JX
waddon,531151,164828,51.3673792570589,-0.117394076608697,5,CR0 4NA
waddon-marsh,531082,165906,51.3770829520234,-0.117987464951922,"3,4,5,6",CR0 4XT
wallington,528841,163985,51.36033154438379,-0.15086383512315,5,SM6 0DZ
waltham-cross,536520,200343,51.68525725632279,-0.0265642572484255,7,EN8 7LU
walthamstow-central,537286,188986,51.5830181133671,-0.0199405450269344,3,E17 7LP
walthamstow-queens-road,537020,188815,51.58154619149511,-0.0238439433319081,3,E17 7QZ
wandle-park,531422,165505,51.37340071573279,-0.113253321178582,"3,4,5,6",CR0 4JS
wandsworth-common,527719,173530,51.4463656043586,-0.16353698096571698,3,SW12 8NL
wandsworth-road,529354,176226,51.47022320222361,-0.13903767574710799,2,SW8 4PA
wandsworth-town,525985,175119,51.46103407574329,-0.187910037730367,2,SW18 1SU
wanstead,540685,188176,51.5749021498173,0.0287604723850641,4,E11 2NT
wanstead-park,540592,185600,51.5517780784731,0.0263899430085046,3,E7 0HU
wapping,535030,180170,51.5043403163738,-0.0558608145326272,2,E1W 3PA
warren-street,529253,182272,51.5245799886272,-0.138278331644798,1,NW1 3AA
warwick-avenue,526158,182030,51.523104435131906,-0.18295329305572,2,W9 2PT
waterloo,531050,179933,51.5031466396974,-0.113259251998453,1,SE1 7NY
waterloo-east,531332,180054,51.5041686097651,-0.10915363758111,1,SE1 8NH
watford,509579,196610,51.6576050960735,-0.41727000688367893,7,WD18 7LE
watford-high-street,511360,196098,51.652653704545,-0.391696729322962,8,WD17 2EG
watford-junction,511023,197340,51.6638830132479,-0.396171957174806,,WD17 1ET
wellesley-road,532511,165752,51.3753675385357,-0.0975249086343253,"3,4,5,6",CR0 2DD
welling,546096,176073,51.46477708819899,0.10177503847313302,4,DA16 3AT
wembley-central,518214,185039,51.55186478030271,-0.296392327030991,4,HA9 6AG
wembley-park,519373,186341,51.5633224581255,-0.27924255264977305,4,HA9 9AA
wembley-stadium,518924,185366,51.5546545705647,-0.28604644673579405,4,HA9 8BQ
west-acton,519394,181273,51.517770150265896,-0.28065717548937,3,W3 6UP
west-brompton,525383,178030,51.4873289147265,-0.19553881189039604,2,SW5 9JX
west-croydon,532188,166098,51.3785521741293,-0.102034292902506,5,CR0 2TA
west-drayton,506124,180122,51.510071218536,-0.47217609685820505,6,UB7 9DY
west-dulwich,532798,173053,51.440911821297206,-0.09067267639260498,3,SE21 8HN
west-ealing,516690,180749,51.513625205209706,-0.319782954648735,3,W13 0NQ
west-finchley,525507,191601,51.6092627277839,-0.188917109550708,4,N3 1NT
west-ham,539202,182974,51.528525519359896,0.00531739383062769,3,E15 3BN
west-hampstead,525524,184726,51.54747433305079,-0.19112658556357198,2,NW6 2LX
west-hampstead-thameslink,525423,184852,51.54862912261479,-0.192537519702221,2,NW6 1XJ
west-harrow,514163,187957,51.57892423798761,-0.35384669716506706,5,HA1 4HE
west-india-quay,537471,180505,51.50676265766771,-0.0205824471509307,2,E14 4ED
west-kensington,524635,178321,51.490109362443704,-0.20620369468782102,2,W14 9NL
west-norwood,531956,171955,51.431241115649996,-0.10318913491266199,3,SE27 0HS
west-ruislip,508364,186791,51.569587871370295,-0.43786014555668706,6,HA4 7WD
west-silvertown,540455,180155,51.502884434803,0.0222460466499381,3,E16 2AT
west-sutton,525081,164539,51.366150135202204,-0.204644548460784,5,SM1 2EH
west-wickham,538266,166563,51.3812842012659,-0.0145763304220232,5,BR4 0PY
westbourne-park,524920,181764,51.52098884133861,-0.20088251515821104,2,W11 1AB
westcombe-park,540199,178103,51.4845088959986,0.0177457002429358,3,SE3 7EQ
westferry,537064,180814,51.5096381479109,-0.0263231371398518,2,E14 8AD
westminster,530240,179718,51.501401591350096,-0.125002079249726,1,SW1A 2JR
white-city,523296,180750,51.512232437641494,-0.22463193144813,2,W12 7RH
white-hart-lane,533693,191340,51.605034770871804,-0.070870326822947,3,N17 7RP
whitechapel,534738,181859,51.5195877855755,-0.0594204851891818,2,E1 1BY
whitton,514220,173568,51.4495881907174,-0.35768206087209997,5,TW2 7LG
whyteleafe,533842,158505,51.3099293183463,-0.0811351653827466,6,CR3 0AD
whyteleafe-south,534169,157797,51.303489803442105,-0.076712514743058,6,CR3 0BD
willesden-green,523350,184884,51.5493732864318,-0.22240760412448,"2,3",NW2 4QT
willesden-junction,521905,182942,51.5322339634936,-0.24390914329748298,3,NW10 4RA
wimbledon,524791,170647,51.4211078449718,-0.206662835920936,3,SW19 1PS
wimbledon-chase,524306,169347,51.4095309322704,-0.214089769747315,3,SW20 8DB
wimbledon-park,525274,172158,51.43458095262871,-0.199186275276999,3,SW19 7DZ
winchmore-hill,531529,194494,51.6338868591581,-0.10091693331638399,4,N21 3NG
wood-green,531038,190427,51.597453728312104,-0.109526589468032,3,N22 8HH
wood-lane,523314,180464,51.5096581948003,-0.22447260863862303,2,W12 7DS
wood-street,538521,189426,51.5866699440063,-0.0019538980132223,4,E17 3NZ
woodford,540952,191778,51.6072018443785,0.0340562023454831,4,IG8 7QE
woodgrange-park,541861,185332,51.5490525352504,0.0445724961062516,"3,4",E7 8AA
woodmansterne,528720,159385,51.319018579426796,-0.15426212854066298,6,CR5 3HS
woodside,534716,167115,51.387097683133895,-0.0653471780994997,"3,4,5,6",SE25 5DP
woodside-park,525725,192564,51.61786839986421,-0.185425504725524,4,N12 8SE
woolwich,543931,178994,51.49157837470679,0.0718193782174965,4,
woolwich-arsenal,543754,178803,51.489907116548004,0.0691939064074983,4,SE18 6HX
woolwich-dockyard,542738,178908,51.491107794794594,0.0546123483136155,3,SE18 5JY
worcester-park,522192,166133,51.3811044872894,-0.245575291815635,4,KT4 7ND
